Year,Quarter,Date,Site_1,Treatment,LFP,Earnings,Welfare,Receipt,FoodStamps,TotInc,Treatment_Num,Site,NEWWS
1996,1,,MFIP-R-F,Control,53.9,1791,42.3,667,,2458,0,MFIP-RA,0
1996,2,,MFIP-R-F,Control,55,1932,39.5,611,,2543,0,MFIP-RA,0
1996,3,,MFIP-R-F,Control,55.7,2025,36.7,563,,2588,0,MFIP-RA,0
1997,0,,MFIP-R-F,Control,55.3,2095,33.8,510,,2605,0,MFIP-RA,0
1994,1,,MFIP-R-F,Treatment,54.4,875,84.1,917,,1792,1,MFIP-RA,0
1994,2,,MFIP-R-F,Treatment,48.1,848,84.7,1537,,2385,1,MFIP-RA,0
1994,3,,MFIP-R-F,Treatment,51.6,1112,77.8,1340,,2452,1,MFIP-RA,0
1995,0,,MFIP-R-F,Treatment,52.4,1242,70.3,1202,,2444,1,MFIP-RA,0
1995,1,,MFIP-R-F,Treatment,54.9,1381,64.1,1076,,2457,1,MFIP-RA,0
1995,2,,MFIP-R-F,Treatment,55.9,1510,59.1,985,,2495,1,MFIP-RA,0
1995,3,,MFIP-R-F,Treatment,56.2,1647,55.6,940,,2587,1,MFIP-RA,0
1996,0,,MFIP-R-F,Treatment,58.1,1701,52.5,886,,2587,1,MFIP-RA,0
1996,1,,MFIP-R-F,Treatment,57,1762,49.3,815,,2577,1,MFIP-RA,0
1996,2,,MFIP-R-F,Treatment,57.7,1932,45.7,763,,2695,1,MFIP-RA,0
1996,3,,MFIP-R-F,Treatment,58.2,2077,42.7,698,,2775,1,MFIP-RA,0
1997,0,,MFIP-R-F,Treatment,58.4,2086,40.9,665,,2751,1,MFIP-RA,0
1991,0,,LFA-Atlanta,Control,44.4,1647,82.7,,,7188,0,Atlanta,1
1992,0,,LFA-Atlanta,Control,49.8,2578,70.9,,,7531,0,Atlanta,1
1993,0,,LFA-Atlanta,Control,54.1,3313,61.2,,,7928,0,Atlanta,1
1994,0,,LFA-Atlanta,Control,58.5,4255,50.1,,,8364,0,Atlanta,1
1995,0,,LFA-Atlanta,Control,63,5586,36.5,,,8976,0,Atlanta,1
1991,0,,LFA-Atlanta,Treatment,49.1,2043,78.2,,,7409,1,Atlanta,1
1992,0,,LFA-Atlanta,Treatment,55.3,3228,64.7,,,7888,1,Atlanta,1
1993,0,,LFA-Atlanta,Treatment,58.4,3930,56.1,,,8271,1,Atlanta,1
1994,0,,LFA-Atlanta,Treatment,61.5,4815,44.5,,,8587,1,Atlanta,1
1995,0,,LFA-Atlanta,Treatment,65.1,5821,32.6,,,8983,1,Atlanta,1
1991,0,,HCD-Atlanta,Control,44.4,1647,82.7,,,7188,10,Atlanta,1
1992,0,,HCD-Atlanta,Control,49.8,2578,70.9,,,7531,10,Atlanta,1
1993,0,,HCD-Atlanta,Control,54.1,3313,61.2,,,7928,10,Atlanta,1
1994,0,,HCD-Atlanta,Control,58.5,4255,50.1,,,8364,10,Atlanta,1
1995,0,,HCD-Atlanta,Control,63,5586,36.5,,,8976,10,Atlanta,1
1991,0,,HCD-Atlanta,Treatment,45.5,1846,80.8,,,7264,11,Atlanta,1
1992,0,,HCD-Atlanta,Treatment,54.3,3059,66.2,,,7834,11,Atlanta,1
1993,0,,HCD-Atlanta,Treatment,58.2,3912,57.4,,,8283,11,Atlanta,1
1994,0,,HCD-Atlanta,Treatment,60.3,4910,46.9,,,8805,11,Atlanta,1
1995,0,,HCD-Atlanta,Treatment,63.6,5671,34.5,,,8933,11,Atlanta,1
1991,0,,LFA-GR,Control,52.9,1759,77.8,,,8037,0,GR,1
1992,0,,LFA-GR,Control,60.6,2874,60.8,,,7987,0,GR,1
1993,0,,LFA-GR,Control,65,4211,48,,,8391,0,GR,1
1994,0,,LFA-GR,Control,70,5480,38,,,8807,0,GR,1
1995,0,,LFA-GR,Control,73,6447,27.8,,,8950,0,GR,1
1991,0,,LFA-GR,Treatment,63.6,2289,68.8,,,7743,1,GR,1
1992,0,,LFA-GR,Treatment,67.2,3385,53.5,,,7723,1,GR,1
1993,0,,LFA-GR,Treatment,69.8,4658,41.2,,,8220,1,GR,1
1994,0,,LFA-GR,Treatment,71.3,5615,32.5,,,8485,1,GR,1
1995,0,,LFA-GR,Treatment,70,6376,24.3,,,8569,1,GR,1
1991,0,,HCD-GR,Control,52.9,1759,77.8,,,8037,10,GR,1
1992,0,,HCD-GR,Control,60.6,2874,60.8,,,7987,10,GR,1
1993,0,,HCD-GR,Control,65,4211,48,,,8391,10,GR,1
1994,0,,HCD-GR,Control,70,5480,38,,,8807,10,GR,1
1995,0,,HCD-GR,Control,73,6447,27.8,,,8950,10,GR,1
1991,0,,HCD-GR,Treatment,58.1,1869,73.7,,,7777,11,GR,1
1992,0,,HCD-GR,Treatment,65.5,3354,54.3,,,7905,11,GR,1
1993,0,,HCD-GR,Treatment,67.2,4514,41.7,,,8165,11,GR,1
1994,0,,HCD-GR,Treatment,70,5535,32.5,,,8413,11,GR,1
1995,0,,HCD-GR,Treatment,70.3,6345,25.8,,,8666,11,GR,1
1991,0,,LFA-Riverside,Control,34.1,1741,69.6,,,8706,0,Riverside,1
1992,0,,LFA-Riverside,Control,37,2482,56.4,,,7983,0,Riverside,1
1993,0,,LFA-Riverside,Control,39.8,2957,47.6,,,7735,0,Riverside,1
1994,0,,LFA-Riverside,Control,41.9,3554,41.1,,,7730,0,Riverside,1
1995,0,,LFA-Riverside,Control,44.5,4155,34.6,,,7650,0,Riverside,1
1991,0,,LFA-Riverside,Treatment,50.6,2460,62.9,,,8722,1,Riverside,1
1992,0,,LFA-Riverside,Treatment,45.4,3039,50.1,,,7663,1,Riverside,1
1993,0,,LFA-Riverside,Treatment,44.5,3389,42.7,,,7420,1,Riverside,1
1994,0,,LFA-Riverside,Treatment,45.8,3867,37,,,7469,1,Riverside,1
1995,0,,LFA-Riverside,Treatment,48.7,4683,30.2,,,7655,1,Riverside,1
1991,0,,HCD-Riverside,Control,29.1,1250,72.3,,,8635,10,Riverside,1
1992,0,,HCD-Riverside,Control,31.9,1886,60,,,7865,10,Riverside,1
1993,0,,HCD-Riverside,Control,34.8,2150,52.1,,,7454,10,Riverside,1
1994,0,,HCD-Riverside,Control,37.1,2601,46.3,,,7332,10,Riverside,1
1995,0,,HCD-Riverside,Control,39.9,3025,39,,,7025,10,Riverside,1
1991,0,,HCD-Riverside,Treatment,35.7,1446,66.4,,,8249,11,Riverside,1
1992,0,,HCD-Riverside,Treatment,37.7,2025,54.2,,,7303,11,Riverside,1
1993,0,,HCD-Riverside,Treatment,39.3,2561,47.1,,,6997,11,Riverside,1
1994,0,,HCD-Riverside,Treatment,40.9,2857,41.5,,,6768,11,Riverside,1
1995,0,,HCD-Riverside,Treatment,44.9,3384,34.5,,,6607,11,Riverside,1
