Year,Quarter,Site,Treatment,LFP,Participation,Receipt,TotInc,
1995,3,MFIP-LR,0,37.6,77.3,1526,2384,858
1996,0,MFIP-LR,0,41.2,74.3,1465,2394,929
1996,1,MFIP-LR,0,42.3,71.8,1368,2480,1112
1996,2,MFIP-LR,0,44.1,66.6,1295,2517,1222
1996,3,MFIP-LR,0,45.3,63.8,1220,2524,1304
1997,0,MFIP-LR,0,44.7,60.3,1166,2536,1370
1994,1,MFIP-LR,1,31.5,97.5,2021,2348,327
1994,2,MFIP-LR,1,42.1,96.8,2166,2642,476
1994,3,MFIP-LR,1,47.2,94.2,2006,2664,658
1995,0,MFIP-LR,1,45.2,90.7,1888,2650,762
1995,1,MFIP-LR,1,49.6,88.1,1794,2694,900
1995,2,MFIP-LR,1,52.7,84,1729,2725,996
1995,3,MFIP-LR,1,52.4,82.2,1651,2727,1076
1996,0,MFIP-LR,1,53.4,80,1600,2756,1156
1996,1,MFIP-LR,1,54.1,78,1529,2817,1288
1996,2,MFIP-LR,1,56.2,74.4,1442,2829,1387
1996,3,MFIP-LR,1,55.5,71.3,1377,2827,1450
1997,0,MFIP-LR,1,56.9,67.8,1322,2808,1486
1994,1,MFIP-LR,2,31.6,98.1,2004,2358,354
1994,2,MFIP-LR,2,37.7,97.6,2182,2632,450
1994,3,MFIP-LR,2,39.4,95.2,2058,2619,561
1995,0,MFIP-LR,2,41.3,91.6,1987,2632,645
1995,1,MFIP-LR,2,40.6,89.6,1913,2601,688
1995,2,MFIP-LR,2,41.4,87,1867,2618,751
1995,3,MFIP-LR,2,43.2,84.8,1818,2644,826
1996,0,MFIP-LR,2,42.3,82.3,1736,2639,903
1996,1,MFIP-LR,2,44.8,80.6,1673,2643,970
1996,2,MFIP-LR,2,45.5,76.3,1588,2685,1097
1996,3,MFIP-LR,2,48.1,74,1513,2786,1273
1997,0,MFIP-LR,2,51.3,72.1,1453,2835,1382
1994,1,MFIP-RA,0,53.8,77.4,738,1619,881
1994,2,MFIP-RA,0,46.3,77.9,1195,2132,937
1994,3,MFIP-RA,0,47.7,68.4,1079,2248,1169
1995,0,MFIP-RA,0,49.3,61.9,970,2290,1320
1995,1,MFIP-RA,0,51.9,54.9,850,2287,1437
1995,2,MFIP-RA,0,51.8,49.9,788,2303,1515
1995,3,MFIP-RA,0,52.9,46.6,735,2380,1645
1996,0,MFIP-RA,0,53.9,44.8,698,2410,1712
1996,1,MFIP-RA,0,53.9,42.3,667,2458,1791
1996,2,MFIP-RA,0,55,39.5,611,2543,1932
1996,3,MFIP-RA,0,55.7,36.7,563,2588,2025
1997,0,MFIP-RA,0,55.3,33.8,510,2605,2095
1994,1,MFIP-RA,1,54.4,84.1,917,1792,875
1994,2,MFIP-RA,1,48.1,84.7,1537,2385,848
1994,3,MFIP-RA,1,51.6,77.8,1340,2452,1112
1995,0,MFIP-RA,1,52.4,70.3,1202,2444,1242
1995,1,MFIP-RA,1,54.9,64.1,1076,2457,1381
1995,2,MFIP-RA,1,55.9,59.1,985,2495,1510
1995,3,MFIP-RA,1,56.2,55.6,940,2587,1647
1996,0,MFIP-RA,1,58.1,52.5,886,2587,1701
1996,1,MFIP-RA,1,57,49.3,815,2577,1762
1996,2,MFIP-RA,1,57.7,45.7,763,2695,1932
1996,3,MFIP-RA,1,58.2,42.7,698,2775,2077
1997,0,MFIP-RA,1,58.4,40.9,665,2751,2086
1994,1,MFIP-RA,2,52.6,82.7,915,1793,878
1994,2,MFIP-RA,2,49.8,84.6,1526,2434,908
1994,3,MFIP-RA,2,51.3,76.7,1367,2530,1163
1995,0,MFIP-RA,2,51.7,70.1,1245,2482,1237
1995,1,MFIP-RA,2,53.1,65.5,1130,2420,1290
1995,2,MFIP-RA,2,52,59.7,1066,2523,1457
1995,3,MFIP-RA,2,53.2,56.9,1008,2534,1526
1996,0,MFIP-RA,2,53.1,54.8,969,2537,1568
1996,1,MFIP-RA,2,55.1,52,937,2593,1656
1996,2,MFIP-RA,2,54.9,49.1,868,2681,1813
1996,3,MFIP-RA,2,55.9,47.8,852,2742,1890
1997,0,MFIP-RA,2,55.1,44,784,2724,1940
